t1,t2,t3,t4,t5,t6,brs
66,34,44,29,2,89,448
17,13,2,23,13,34,498
46,63,54,90,84,0,449
57,76,34,13,49,84,424
31,49,17,5,13,25,460
8,99,68,5,72,62,492
21,37,12,80,76,21,467
72,62,60,43,67,57,380
86,66,7,13,24,13,497
89,8,35,82,25,60,466
61,23,87,60,60,20,429
79,82,77,71,21,93,486
89,62,87,36,73,72,452
78,85,63,67,80,28,450
38,2,0,72,42,72,464
33,8,8,18,31,12,490
71,18,17,95,27,51,458
3,41,86,66,69,90,471
34,15,21,87,93,19,493
72,47,90,43,44,59,390
17,84,58,45,68,69,421
60,45,60,5,16,51,408
59,28,39,48,83,7,422
81,90,1,73,6,28,512
66,55,19,80,61,80,428
29,57,5,95,25,53,449
80,36,53,82,52,94,430
71,31,35,36,2,16,452
99,87,49,4,88,27,497
86,46,46,96,11,33,448
24,87,59,56,16,79,445
50,31,67,16,86,19,440
20,69,35,64,86,14,453
66,75,20,60,47,51,389
25,51,56,50,56,92,385
83,12,14,50,51,22,439
35,46,16,37,50,14,403
0,92,69,86,48,25,477
4,28,84,61,54,16,454
87,71,42,51,77,55,404
81,13,18,55,56,28,436
90,0,61,36,48,2,467
48,35,59,45,33,25,374
60,91,36,95,17,4,492
59,64,22,43,1,73,433
92,70,3,5,14,73,516
59,50,38,17,95,34,418
79,51,6,96,76,26,474
21,45,11,50,19,99,455
74,61,33,76,75,54,412
24,75,91,95,67,9,499
52,64,54,3,21,15,434
23,33,84,29,11,5,484
13,49,32,94,1,24,476
6,34,38,11,28,13,470
5,57,42,32,10,58,428
7,78,25,16,75,53,461
32,67,25,26,42,13,430
12,58,9,28,71,50,433
20,71,82,15,10,5,505
5,84,43,50,0,5,483
2,0,1,27,16,82,537
44,18,40,96,44,34,417
95,41,12,80,86,4,507
77,90,88,5,72,98,525
14,18,60,41,39,44,405
79,4,24,14,42,78,475
4,35,86,79,99,20,508
40,12,21,64,23,77,447
49,18,28,62,30,94,433
87,76,69,47,73,93,456
33,65,23,86,0,66,464
6,71,24,59,34,22,446
99,93,72,93,21,86,527
90,0,9,28,86,94,536
13,54,96,43,60,2,455
32,52,10,63,80,56,413
6,19,89,22,47,18,478
17,21,42,71,85,57,436
39,57,44,74,81,74,407
18,83,7,76,66,20,483
81,87,95,83,66,42,475
86,53,74,71,39,67,417
10,29,78,30,1,21,488
97,31,13,8,80,61,489
67,27,0,49,77,84,455
33,81,73,62,83,7,463
45,81,12,14,16,15,480
4,12,25,8,91,31,512
69,36,28,75,96,19,460
84,89,56,18,4,36,474
55,9,50,41,73,11,420
43,69,0,94,43,94,474
45,51,21,74,44,49,368
91,25,12,74,30,34,466
68,35,29,77,11,62,435
64,51,21,22,22,70,423
81,97,48,61,49,54,400
84,5,44,87,14,8,502
0,13,7,86,75,17,526
50,80,59,90,57,47,394
8,43,77,31,58,4,451
88,13,87,12,21,58,490
17,94,76,95,64,83,500
22,10,54,53,0,5,472
68,19,86,71,90,0,500
89,49,61,51,59,7,408
1,40,94,10,95,63,504
5,74,39,9,57,73,454
70,24,84,22,58,22,447
55,64,41,78,67,79,407
78,29,27,50,97,72,445
41,35,30,53,55,91,396
2,53,45,48,52,66,379
31,33,69,11,16,21,458
23,61,41,23,49,61,388
19,24,5,46,98,67,473
3,24,60,71,96,47,456
93,37,81,51,82,64,439
83,32,30,95,87,31,475
91,93,38,58,90,37,461
59,60,47,55,84,71,387
17,22,86,87,89,61,488
11,51,89,91,44,87,467
40,61,23,14,27,88,447
96,46,72,40,31,18,435
25,37,67,98,69,93,469
94,78,23,90,91,13,521
96,8,21,70,18,73,495
28,74,7,88,92,5,517
75,29,98,48,53,68,421
86,52,19,77,30,58,428
13,43,24,82,94,12,486
16,34,78,58,51,0,440
98,72,84,21,69,74,481
28,77,51,20,96,8,471
78,65,66,59,29,14,429
3,26,31,92,79,52,466
96,22,76,99,41,96,508
90,73,43,91,65,22,458
27,32,14,38,48,10,431
89,78,47,64,4,82,466
49,44,66,32,25,39,378
3,57,3,54,94,41,461
3,9,20,24,66,54,466
69,37,68,8,87,95,478
90,51,61,73,49,25,405
19,12,80,14,38,25,473
11,68,92,0,13,41,497
19,21,28,28,43,53,415
